#NAME?;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
25.08.53;412,4
26.08.53;415,15
27.08.53;413,14
28.08.53;415,9
31.08.53;409,47
01.09.53;406,94
02.09.53;414,42
03.09.53;418,05
04.09.53;425,58
07.09.53;433,38
08.09.53;435,23
09.09.53;431,81
10.09.53;433,92
11.09.53;436,99
14.09.53;432,41
15.09.53;429,98
16.09.53;416,65
17.09.53;420,48
18.09.53;420,99
21.09.53;426,68
22.09.53;428,97
23.09.53;428,97
24.09.53;432,92
25.09.53;429,5
28.09.53;442,02
29.09.53;448,77
30.09.53;450,87
01.10.53;448,75
02.10.53;449,01
05.10.53;442,54
06.10.53;444,09
07.10.53;442,16
08.10.53;439,03
09.10.53;442,49
12.10.53;440,19
13.10.53;439,79
14.10.53;442,05
15.10.53;439,95
16.10.53;432,54
19.10.53;429,04
20.10.53;421,12
21.10.53;424,93
22.10.53;429,02
23.10.53;431,2
26.10.53;424,49
27.10.53;424,33
28.10.53;429,13
29.10.53;427,54
30.10.53;427,68
02.11.53;440,19
03.11.53;440,19
04.11.53;438,98
05.11.53;436,61
06.11.53;433,26
09.11.53;429,57
10.11.53;429,17
11.11.53;428,74
12.11.53;432,25
13.11.53;432,05
16.11.53;421,98
17.11.53;423,36
18.11.53;418,26
19.11.53;419,07
20.11.53;418,85
23.11.53;418,85
24.11.53;414,12
25.11.53;407,44
26.11.53;414,49
27.11.53;420,39
30.11.53;423,06
01.12.53;420,91
02.12.53;421,74
03.12.53;420,35
04.12.53;420,14
07.12.53;415,66
08.12.53;415,86
09.12.53;417,83
10.12.53;417,55
11.12.53;417,72
14.12.53;420,65
15.12.53;417,68
16.12.53;415,44
17.12.53;410,94
18.12.53;407,9
21.12.53;402,15
22.12.53;403
23.12.53;405,23
24.12.53;402,98
25.12.53;397,18
28.12.53;377,95
29.12.53;377,95
30.12.53;377,95
31.12.53;377,95
01.01.54;377,95
04.01.54;362,88
05.01.54;363,24
06.01.54;363,82
07.01.54;366,31
08.01.54;375,22
11.01.54;377,27
12.01.54;375,19
13.01.54;370,93
14.01.54;363,38
15.01.54;363,38
18.01.54;359,73
19.01.54;356,96
20.01.54;352,69
21.01.54;351,07
22.01.54;350,04
25.01.54;354,54
26.01.54;357,58
27.01.54;360,1
28.01.54;358,04
29.01.54;355,19
01.02.54;354,5
02.02.54;357,71
03.02.54;356,17
