#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
09.02.82;;;125,323;188,587;408,905;113,68;;7794,19
10.02.82;;;126,558;189,279;408,905;114,66;;7761,11
11.02.82;;;126,959;189,453;408,905;114,43;;7761,11
12.02.82;;;125,389;186,499;408,905;114,38;;7690,29
15.02.82;;;124,446;184,685;408,905;114,38;;7694,18
16.02.82;;;123,816;184,339;408,905;114,06;;7693,92
17.02.82;;;125,111;184,944;408,905;113,69;;7644,39
18.02.82;;;125,611;186,83;408,905;113,82;;7683,76
19.02.82;;;127,407;189,785;408,905;113,22;;7713,31
22.02.82;;;128,329;191,106;408,905;111,59;;7758,36
23.02.82;;;126,454;188,199;408,905;111,51;;7714,56
24.02.82;;;125,554;186,791;408,905;113,47;;7664,02
25.02.82;;;125,733;185,206;408,905;113,21;;7580,45
26.02.82;;;124,585;183,921;373,433;113,11;;7548,51
01.03.82;;;124,705;181,659;373,433;113,31;;7327,44
02.03.82;;;125,977;182,082;373,433;112,68;;7309,41
03.03.82;;;125,868;183,444;373,433;110,92;;7474,42
04.03.82;;;125,972;181,704;373,433;109,88;;7354,82
05.03.82;;;126,979;182,266;373,433;109,34;;7285,54
08.03.82;;;127,315;182,885;373,433;107,34;;7248,47
09.03.82;;;124,97;179,673;373,433;108,83;;7195,8
10.03.82;;;124,837;180,389;373,433;109,41;;7292,91
11.03.82;;;124,984;179,899;373,433;109,36;;7257,34
12.03.82;;;124,266;178,078;373,433;108,61;;7102,61
15.03.82;;;123,91;176,915;373,433;109,45;;7078,68
16.03.82;;;123,644;174,882;373,433;109,28;;6916,99
17.03.82;;;123,51;174,997;373,433;109,08;;6889,53
18.03.82;;;123,757;176,359;373,433;110,3;;7052,8
19.03.82;;;124,413;176,254;373,433;110,61;;7065,38
22.03.82;;;124,282;175,775;373,433;112,77;;7065,38
23.03.82;;;125,281;176,872;373,433;113,55;;7097,8
24.03.82;;;125,473;178,517;373,433;112,97;;7194,31
25.03.82;;;124,708;177,042;373,433;113,21;;7175,16
26.03.82;;;124,188;176,036;373,433;111,94;;7203,82
29.03.82;;;122,82;174,33;373,433;112,3;;7199,16
30.03.82;;;123,477;173,933;373,433;112,27;;7193,83
31.03.82;;;123,768;174,436;339,484;111,96;;7260,48
01.04.82;;;124,14;175,661;339,484;113,79;;7293,67
02.04.82;;;125,08;176,743;339,484;115,12;;7332,96
05.04.82;;;123,038;175,099;339,484;114,73;;7344,35
06.04.82;;;121,319;173,575;339,484;115,36;;7293,59
07.04.82;;;122,555;174,504;339,484;115,46;;7230,53
08.04.82;;;122,079;173,151;339,484;116,22;;7204,65
09.04.82;;;122,079;173,151;339,484;116,22;;7209,21
12.04.82;;;122,079;173,551;339,484;116;;7280,82
13.04.82;;;122,243;174,056;339,484;115,99;;7252,93
14.04.82;;;122,237;173,4;339,484;115,83;;7181,53
15.04.82;;;120,309;171,144;339,484;116,35;;7120,86
16.04.82;;;120,891;171,547;339,484;116,81;;7129,69
19.04.82;;;121,934;172,712;339,484;116,7;;7135,21
20.04.82;;;123,481;176,409;339,484;115,44;;7258,15
21.04.82;;;123,784;176,748;339,484;115,72;;7260,58
22.04.82;;;124,505;177,638;339,484;117,19;;7295,87
23.04.82;;;125,085;179,165;339,484;118,64;;7333,94
26.04.82;;;125,839;182,948;339,484;119,26;;7404,21
27.04.82;;;125,447;182,679;339,484;118;;7417,16
28.04.82;;;126,63;184,008;339,484;117,26;;7405,28
29.04.82;;;127,055;184,298;339,484;116,13;;7405,28
30.04.82;;;127,078;185,156;371,607;116,44;;7390,71
03.05.82;;;127,551;184,928;371,607;116,81;;7390,71
04.05.82;;;127,758;185,449;371,607;117,46;;7457,11
05.05.82;;;127,268;186,125;371,607;117,67;;7457,11
06.05.82;;;129,354;189,584;371,607;118,68;;7517,78
07.05.82;;;130,788;191,352;371,607;119,47;;7518,78
10.05.82;;;131,357;191,529;371,607;118,38;;7564,59
11.05.82;;;130,774;191,039;371,607;119,42;;7538,12
12.05.82;;;131,968;191,873;371,607;119,17;;7539,78
13.05.82;;;130,054;190,687;371,607;118,22;;7603,21
14.05.82;;;129,559;189,404;371,607;118,01;;7575,81
17.05.82;;;129,443;189,944;371,607;116,71;;7619,39
18.05.82;;;127,356;187,289;371,607;115,84;;7567,06
19.05.82;;;126,723;186,88;371,607;114,89;;7572,15
20.05.82;;;126,013;185,724;371,607;114,59;;7531,54
21.05.82;;;126,012;185,801;371,607;114,89;;7497,05
24.05.82;;;127,201;185,789;371,607;114,79;;7468,28
25.05.82;;;127,27;184,888;371,607;114,4;;7428,4
26.05.82;;;126,996;185,152;371,607;113,11;;7449,92
27.05.82;;;126,418;183,461;371,607;112,66;;7404,36
28.05.82;;;126,502;181,962;371,607;111,88;;7325,09
31.05.82;;;126,505;182,166;361,736;111,88;;7325,65
01.06.82;;;125,745;181,72;361,736;111,68;;7368,66
02.06.82;;;124,942;180,464;361,736;112,04;;7344,9
03.06.82;;;125,882;181,067;361,736;111,86;;7301,94
04.06.82;;;125,958;180,78;361,736;110,09;;7300,54
07.06.82;;;124,952;178,557;361,736;110,12;;7242,39
08.06.82;;;124,805;178,342;361,736;109,63;;7240,03
09.06.82;;;123,678;176,673;361,736;108,99;;7233,03
10.06.82;;;122,007;174,15;361,736;109,61;;7152,28
